# Document with the sample ids and the antimicrobials that genes/mutations that confeer resistance to have been detected in the sample
## Confidential
reads_ID,ampicillin,cefoxitin,chloramphenicol,ciprofloxacin,gentamicin,nalidixic acid,tetracycline
SRR2407645_1.trim.fq.gz,None,None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,tet(A) (tet(A)_AF534183)
SRR2407646_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,aac(3)-IId (aac(3)-IId_EU022314),None,"tet(A) (tet(A)_AJ517790), tet(A) (tet(A)_AF534183)"
SRR2407647_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407648_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407649_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407650_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407651_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407652_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407653_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407654_1.trim.fq.gz,None,None,None,None,None,None,"tet(A) (tet(A)_AJ517790), tet(A) (tet(A)_AF534183)"
SRR2407655_1.trim.fq.gz,"blaCMY-2 (blaCMY-2_X91840), blaTEM-1B (blaTEM-1B_AY458016)",blaCMY-2 (blaCMY-2_X91840),"cmlA1 (cmlA1_M64556), floR (floR_AF118107)",None,ant(2'')-Ia (ant(2'')-Ia_X04555),None,tet(A) (tet(A)_AF534183)
SRR2407656_1.trim.fq.gz,"blaCMY-2 (blaCMY-2_X91840), blaTEM-1B (blaTEM-1B_AY458016)",blaCMY-2 (blaCMY-2_X91840),floR (floR_AF118107),None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,tet(A) (tet(A)_AF534183)
SRR2407657_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407658_1.trim.fq.gz,"blaCMY-2 (blaCMY-2_X91840), blaTEM-1B (blaTEM-1B_AY458016)",blaCMY-2 (blaCMY-2_X91840),cmlA1 (cmlA1_M64556),None,ant(2'')-Ia (ant(2'')-Ia_X04555),None,None
SRR2407659_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407660_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407662_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,None
SRR2407663_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AJ517790)
SRR2407664_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407665_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407666_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407667_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407668_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407670_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407671_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407672_1.trim.fq.gz,"blaCMY-2 (blaCMY-2_X91840), blaTEM-1B (blaTEM-1B_AY458016)",blaCMY-2 (blaCMY-2_X91840),None,None,None,None,"tet(A) (tet(A)_AJ517790), tet(A) (tet(A)_AF534183)"
SRR2407673_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407674_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407675_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407676_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407677_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407678_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407679_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407680_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407681_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407682_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407683_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407684_1.trim.fq.gz,"blaCMY-2 (blaCMY-2_X91840), blaTEM-1B (blaTEM-1B_AY458016)",blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407685_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407686_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407687_1.trim.fq.gz,blaTEM-1C (blaTEM-1C_FJ560503),None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407688_1.trim.fq.gz,None,None,None,"qnrB19 (qnrB19_EU432277), qnrB81 (qnrB81_KX372671)",None,None,tet(B) (tet(B)_AF326777)
SRR2407689_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407690_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407691_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407692_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407693_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407694_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407695_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407696_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407697_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407699_1.trim.fq.gz,blaTEM-1C (blaTEM-1C_FJ560503),None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407700_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407701_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407702_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407703_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407704_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407705_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407706_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407707_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407708_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407709_1.trim.fq.gz,"blaCMY-2 (blaCMY-2_X91840), blaTEM-1C (blaTEM-1C_FJ560503)",blaCMY-2 (blaCMY-2_X91840),None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,tet(A) (tet(A)_AF534183)
SRR2407710_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407711_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407712_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407713_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407714_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407715_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407716_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,aac(3)-IId (aac(3)-IId_EU022314),None,tet(A) (tet(A)_AF534183)
SRR2407717_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),floR (floR_AF118107),None,None,None,tet(A) (tet(A)_AF534183)
SRR2407718_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),floR (floR_AF118107),None,None,None,tet(A) (tet(A)_AF534183)
SRR2407720_1.trim.fq.gz,None,None,None,None,ant(2'')-Ia (ant(2'')-Ia_X04555),None,"tet(A) (tet(A)_AJ517790), tet(C) (tet(C)_AY046276)"
SRR2407721_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407722_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407723_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407724_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407725_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407726_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407727_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407728_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407729_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407730_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407731_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407732_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407733_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407734_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407735_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407736_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),floR (floR_AF118107),None,None,None,tet(A) (tet(A)_AF534183)
SRR2407737_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407738_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407739_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407740_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407741_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407742_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407743_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(A) (tet(A)_AJ517790)
SRR2407744_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AP000342)
SRR2407745_1.trim.fq.gz,None,None,None,None,None,None,tet(C) (tet(C)_AY046276)
SRR2407746_1.trim.fq.gz,None,None,None,None,None,None,tet(C) (tet(C)_AY046276)
SRR2407747_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407748_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407749_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407750_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407751_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407752_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407753_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407754_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407755_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407756_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407757_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407758_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407759_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407760_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407761_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407762_1.trim.fq.gz,"blaCMY-2 (blaCMY-2_X91840), blaTEM-1B (blaTEM-1B_AY458016)",blaCMY-2 (blaCMY-2_X91840),"cmlA1 (cmlA1_M64556), floR (floR_AF118107)",None,ant(2'')-Ia (ant(2'')-Ia_X04555),None,tet(A) (tet(A)_AF534183)
SRR2407763_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407764_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407765_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407766_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,aac(3)-IId (aac(3)-IId_EU022314),None,tet(A) (tet(A)_AF534183)
SRR2407767_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407768_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407769_1.trim.fq.gz,blaTEM-1A (blaTEM-1A_HM749966),None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407770_1.trim.fq.gz,blaTEM-1A (blaTEM-1A_HM749966),None,None,None,None,None,tet(A) (tet(A)_AJ517790)
SRR2407771_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407772_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407773_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407774_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407775_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407776_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407779_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,None,None,None
SRR2407780_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407781_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407782_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407783_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407784_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407785_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407786_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407790_1.trim.fq.gz,"blaCMY-2 (blaCMY-2_X91840), blaTEM-1B (blaTEM-1B_AY458016)",blaCMY-2 (blaCMY-2_X91840),None,None,aac(3)-IV (aac(3)-IV_DQ241380),None,tet(B) (tet(B)_AF326777)
SRR2407791_1.trim.fq.gz,blaCTX-M-65 (blaCTX-M-65_EF418608),None,floR (floR_AF118107),gyrA (p.D87Y),aac(3)-IV (aac(3)-IV_DQ241380),gyrA (p.D87Y),tet(A) (tet(A)_AF534183)
SRR2407792_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407793_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407794_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407796_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407797_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407798_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407799_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407800_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407801_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,aac(3)-IId (aac(3)-IId_EU022314),None,tet(A) (tet(A)_AJ517790)
SRR2407802_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2532634_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2533435_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2533438_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2533441_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2533449_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AP000342)
SRR2533556_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2533558_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,None,None,tet(B) (tet(B)_AP000342)
SRR2670703_1.trim.fq.gz,None,None,None,None,None,None,"tet(C) (tet(C)_AY046276), tet(C) (tet(C)_AF055345)"
SRR2724056_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2724059_1.trim.fq.gz,None,None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR2889981_1.trim.fq.gz,None,None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,tet(C) (tet(C)_AY046276)
SRR2912654_1.trim.fq.gz,None,None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR2979519_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3131144_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),cmlA1 (cmlA1_M64556),None,None,None,None
SRR3143811_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3219167_1.trim.fq.gz,None,None,cmlA1 (cmlA1_M64556),None,None,None,None
SRR3223755_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),cmlA1 (cmlA1_M64556),None,None,None,None
SRR3289810_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR3295505_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295506_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295507_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295508_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295509_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,None,None,None
SRR3295510_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295511_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295512_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295513_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295514_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295515_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295516_1.trim.fq.gz,"blaCMY-2 (blaCMY-2_X91840), blaTEM-1B (blaTEM-1B_AY458016)",blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295517_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,aac(3)-IId (aac(3)-IId_EU022314),None,tet(A) (tet(A)_AJ517790)
SRR3295518_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295519_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295520_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295521_1.trim.fq.gz,None,None,None,None,None,None,"tet(A) (tet(A)_AJ517790), tet(A) (tet(A)_AJ419171), tet(A) (tet(A)_AF534183)"
SRR3295522_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295523_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295524_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295525_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295526_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295528_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295529_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295530_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR3295531_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295532_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295533_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295534_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295535_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295536_1.trim.fq.gz,None,None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR3295537_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295538_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR3295539_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295540_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295541_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295542_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295543_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295544_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295545_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295546_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295547_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295548_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295549_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295550_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295551_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295552_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,aac(3)-IId (aac(3)-IId_EU022314),None,"tet(A) (tet(A)_AJ517790), tet(A) (tet(A)_AF534183)"
SRR3295553_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,None
SRR3295554_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295555_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR3295556_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,tet(A) (tet(A)_AF534183)
SRR3295557_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295558_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295559_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295560_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295561_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295562_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR3295563_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295564_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR3295565_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295566_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295567_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295568_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,aac(3)-IId (aac(3)-IId_EU022314),None,None
SRR3295569_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295570_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295571_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295572_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295575_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295576_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,aac(3)-IId (aac(3)-IId_EU022314),None,tet(A) (tet(A)_AF534183)
SRR3295577_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295578_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295579_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295580_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295581_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295582_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,None
SRR3295583_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295584_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,aac(3)-IId (aac(3)-IId_EU022314),None,tet(A) (tet(A)_AF534183)
SRR3295585_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295586_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295587_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295588_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295589_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295590_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295591_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295592_1.trim.fq.gz,None,None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,"tet(A) (tet(A)_AJ517790), tet(A) (tet(A)_AF534183), tet(B) (tet(B)_AF326777)"
SRR3295593_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295594_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,aac(3)-IId (aac(3)-IId_EU022314),None,None
SRR3295595_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295596_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295597_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR3295598_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295600_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR3295601_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295602_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR3295603_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AJ517790)
SRR3295604_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR3295605_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR3295606_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295607_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295608_1.trim.fq.gz,None,None,None,None,None,None,"tet(A) (tet(A)_AJ517790), tet(A) (tet(A)_AF534183)"
SRR3295609_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR3295610_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295611_1.trim.fq.gz,None,None,None,None,ant(2'')-Ia (ant(2'')-Ia_X04555),None,"tet(A) (tet(A)_AF534183), tet(C) (tet(C)_AY046276)"
SRR3295613_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295614_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295615_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295616_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR3295617_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295618_1.trim.fq.gz,None,None,None,"qnrB19 (qnrB19_EU432277), qnrB82 (qnrB82_KX372672)",None,None,tet(B) (tet(B)_AF326777)
SRR3295631_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,None,None,tet(B) (tet(B)_AF326777)
